Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Total Sales,Payment Method,Date,Time,Day of Week,VAT (5%),Gross Income,Customer Satisfaction Score
INV-0001,A,New York,Member,Male,Personal Care,34.17,9,307.53,E-wallet,24/03/2024,08:09:00,Sunday,15.38,292.15,2
INV-0002,C,Chicago,Normal,Male,Electronics,23.72,2,47.44,Cash,11/02/2024,16:35:00,Sunday,2.37,45.07,1
INV-0003,A,New York,Member,Male,Personal Care,11.43,6,68.58,Credit Card,13/03/2024,20:09:00,Wednesday,3.43,65.15,8
INV-0004,C,Chicago,Normal,Male,Snacks,34.96,8,279.68,Credit Card,12/03/2024,18:12:00,Tuesday,13.98,265.7,4
INV-0005,C,Chicago,Normal,Female,Clothing,91.63,9,824.67,Credit Card,15/03/2024,21:52:00,Friday,41.23,783.44,6
INV-0006,C,Chicago,Member,Male,Home Appliances,66.37,1,66.37,Cash,18/01/2024,16:31:00,Thursday,3.32,63.05,3
INV-0007,A,New York,Member,Female,Snacks,49.59,1,49.59,Cash,01/02/2024,13:44:00,Thursday,2.48,47.11,8
INV-0008,C,Chicago,Member,Male,Beverages,63.17,9,568.53,E-wallet,29/01/2024,18:23:00,Monday,28.43,540.1,9
INV-0009,C,Chicago,Member,Female,Snacks,69.53,3,208.59,E-wallet,09/01/2024,18:24:00,Tuesday,10.43,198.16,2
INV-0010,B,Los Angeles,Member,Female,Clothing,16.7,8,133.6,Cash,28/01/2024,09:59:00,Sunday,6.68,126.92,2
INV-0011,A,New York,Member,Male,Personal Care,19.37,9,174.33,E-wallet,17/03/2024,20:18:00,Sunday,8.72,165.61,3
INV-0012,C,Chicago,Member,Male,Personal Care,36.04,4,144.16,E-wallet,23/02/2024,09:17:00,Friday,7.21,136.95,5
INV-0013,C,Chicago,Normal,Female,Home Appliances,88.52,4,354.08,Cash,13/01/2024,16:51:00,Saturday,17.7,336.38,2
INV-0014,B,Los Angeles,Normal,Male,Home Appliances,34.67,3,104.01,Cash,08/01/2024,16:41:00,Monday,5.2,98.81,6
INV-0015,B,Los Angeles,Normal,Female,Snacks,51.35,2,102.7,Cash,02/03/2024,17:51:00,Saturday,5.14,97.56,10
INV-0016,C,Chicago,Normal,Female,Personal Care,88.28,4,353.12,Credit Card,09/02/2024,15:41:00,Friday,17.66,335.46,10
INV-0017,B,Los Angeles,Normal,Male,Beverages,80.76,1,80.76,Cash,06/01/2024,12:32:00,Saturday,4.04,76.72,1
INV-0018,B,Los Angeles,Normal,Male,Home Appliances,9,3,27,Cash,04/03/2024,13:56:00,Monday,1.35,25.65,1
INV-0019,B,Los Angeles,Member,Female,Beverages,11.55,4,46.2,E-wallet,03/03/2024,20:31:00,Sunday,2.31,43.89,7
INV-0020,C,Chicago,Member,Male,Home Appliances,32.25,3,96.75,Credit Card,09/03/2024,19:22:00,Saturday,4.84,91.91,6
INV-0021,B,Los Angeles,Normal,Male,Beverages,17.49,8,139.92,E-wallet,21/03/2024,16:45:00,Thursday,7,132.92,7
